ESNTL_ID,BOOKSTORENAME,ADDRESS,DESCRIBE,PARKING,SPAPARATE_RESTROOM,CAFE,REVIEW,BOOKTALK,SPACE_RENTAL
KCCBSPO22N000000439,AR영어북카페,서울 강남구 남부순환로 2927 대치클래시아 124~125호,"다양한 영어책, 르네상스러닝 독서프로그램, 성공적인 영어독서 습관 획득 가능",가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000440,북카페레벤,"서울 강남구 학동로 116 북카페레벤, 성바오로서원","편한 분위기, 좋은 가성비, 모임하기에 좋은 장소",가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000441,파믹스센터 이야기북카페,서울 강동구 고덕로 314 파믹스센터 1층카페,서울에서 자연을 느낄 수 있는 힐링공간 디저트 카페,가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000442,책방늘봄,서울 강동구 성내로10길 9-14 101호,커피&샌드위치 전문점,가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000443,뜨레모아,서울 강동구 양재대로89길 16 파크프라자,딱딱한 도심속에 숨어있는 아늑하고 향기로운 작은 책방,가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000444,윌리엄 커피,서울 강동구 풍성로 92 한스빌딩,"고소하게 볶은 커피를 준비해 윌리엄 레시피로 한방울 한방울 추출한 콜드브루, 브러치 식사와 맛있는 커피, 디저트가 준비, 신선한 재료와 정직한 조리방법",가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000445,꿈뜨락 북카페,서울 강서구 공항대로 615,0,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000446,지오북카페,서울 관악구 관악로12길 3-6 성효빌딩,"프라모델, 피규어, 컨트리 인형 등 아기자기한 소품들이 있음, 조용한 분위기",불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000447,카툰앤북카페 검정고무신 건대입구점,서울 광진구 아차산로 241 연한빌딩 3층,"만화카페, 편한 소파베드, 3만여권의 만화책",불가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000448,북카페세모,"서울 광진구 아차산로31길 20 2층, 3층","책, 디저트, 와인과 함께 파티가 열리는 곳, 신간 베스트셀러 200여권의 책 비치, 직접 로스팅한 원두 사용",가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000449,24시프리카페 건대점,서울 광진구 아차산로34길 26,프리카페는 독서실처럼 조용한 분위기를 원하시는 분들이 이용하시기 좋은공간,가능,구분,있음,없음,없음,불가능
KCCBSPO22N000000450,불카페 조이,서울 구로구 구로동로8길 7,"음향시설, 프로잭터 사용가능, 활용공간 약 25평, 지하공간도 임대 가능",불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000451,통통북카페,서울 구로구 부일로 949 구로청소년문화의집,독서활동 장소,가능,구분,있음,있음,없음,불가능
KCCBSPO22N000000452,중계사랑북카페,서울 노원구 덕릉로82길 50 중계4동주민센터,주민센터내 북카페,불가능,구분안함,있음,없음,없음,불가능
KCCBSPO22N000000453,엘까미노,서울 노원구 동일로 1390 상계주공6단지아파트,독서활동 장소,불가능,구분안함,있음,없음,없음,불가능
